raw_log,environment,level,service_name,module,error_code,affected_users_count,frequency_last_24h,days_since_release,is_payment_related,is_auth_related,is_db_error,is_timeout,is_rate_limit,is_oom,is_exception,is_failed,has_customer_impact,has_workaround,sla_breach_risk,is_crash,customer_tier,repeat_count_same_pattern,high_priority
2026-04-15T10:00:00Z ERROR payment-service Charge failed order_id=10000 user=2000 error=RATE_LIMIT env=prod all users impacted vip tenant impacted post-deploy regression checkout impacted,prod,ERROR,payment-service,payments,RATE_LIMIT,925,26,1,1,0,0,0,1,0,0,1,1,0,0,0,enterprise,22,1
2026-04-15T10:01:07Z WARN notification-service SMTP timeout for customer=2001 env=staging fallback available workaround sla breach risk,staging,WARN,notification-service,notifications,UNKNOWN,25,21,21,0,0,0,1,0,0,0,0,1,1,1,0,free,74,1
2026-04-15T10:02:14Z ERROR integrations-service Partner webhook failed partner=tenant-2 error=PARTNER_API_DOWN env=staging all users impacted fallback available workaround exception raised,staging,ERROR,integrations-service,integrations,PARTNER_API_DOWN,575,26,21,0,0,0,0,0,0,1,1,1,1,0,0,free,25,1
2026-04-15T10:03:21Z ERROR ui-service Frontend exception during checkout env=prod urgent sev1,prod,ERROR,ui-service,ui,UNKNOWN,275,11,21,1,0,0,0,0,0,1,0,1,0,1,0,pro,65,1
2026-04-15T10:04:28Z FATAL reporting-service Scheduled export failed tenant=tenant-4 error=EXPORT_TIMEOUT env=dev all users impacted single request failure every request failing crash detected,dev,FATAL,reporting-service,reporting,EXPORT_TIMEOUT,625,166,21,0,0,0,1,0,0,0,1,1,0,0,1,free,22,1
2026-04-15T10:05:35Z ERROR ui-service Frontend exception during checkout env=prod fallback available workaround manual retry possible repeated spike after deploy,prod,ERROR,ui-service,ui,UNKNOWN,275,61,1,1,0,0,0,0,0,1,0,1,1,0,0,pro,65,1
2026-04-15T10:06:42Z WARN search-service Search query failed user=2006 error=SEARCH_TIMEOUT env=prod every request failing,prod,WARN,search-service,search,SEARCH_TIMEOUT,105,136,21,0,0,0,1,0,0,0,1,1,0,0,0,pro,77,0
2026-04-15T10:07:49Z ERROR frontend-service Checkout button not responding for browser=safari env=prod urgent sev1,prod,ERROR,frontend-service,ui,UNKNOWN,275,11,21,1,0,0,0,0,0,0,0,1,0,1,0,pro,93,1
2026-04-15T10:08:56Z ERROR reporting-service Scheduled export failed tenant=tenant-8 error=DB_TIMEOUT env=prod manual retry possible every request failing exception raised,prod,ERROR,reporting-service,reporting,DB_TIMEOUT,155,146,21,0,0,1,1,0,0,1,1,0,0,0,0,pro,53,1
2026-04-15T10:09:03Z WARN integrations-service Partner webhook failed partner=tenant-9 error=WEBHOOK_TIMEOUT env=staging vip tenant impacted every request failing enterprise customer affected,staging,WARN,integrations-service,integrations,WEBHOOK_TIMEOUT,175,136,21,0,0,0,1,0,0,0,1,1,0,0,0,enterprise,47,0
2026-04-15T10:10:10Z ERROR notification-service SMTP timeout for customer=2010 env=staging sla breach risk post-deploy regression,staging,ERROR,notification-service,notifications,UNKNOWN,75,31,1,0,0,0,1,0,0,0,0,1,0,1,0,free,74,1
2026-04-15T10:11:17Z ERROR checkout-service Checkout request rejected for user=2011 error=DB_TIMEOUT env=prod post-deploy regression urgent sev1 checkout impacted exception raised,prod,ERROR,checkout-service,payments,DB_TIMEOUT,275,31,1,1,0,1,1,0,0,1,1,1,0,1,0,pro,20,1
2026-04-15T10:12:24Z ERROR notification-service SMTP timeout for customer=2012 env=staging every request failing repeated spike after deploy,staging,ERROR,notification-service,notifications,UNKNOWN,75,181,1,0,0,0,1,0,0,0,0,1,0,0,0,free,74,1
2026-04-15T10:13:31Z WARN payment-service Charge failed order_id=10013 user=2013 error=PAYMENT_GATEWAY_DOWN env=prod enterprise customer affected every request failing all users impacted checkout impacted exception raised,prod,WARN,payment-service,payments,PAYMENT_GATEWAY_DOWN,875,116,21,1,0,0,0,0,0,1,1,1,0,0,0,enterprise,24,1
2026-04-15T10:14:38Z ERROR notification-service SMTP timeout for customer=2014 env=prod post-deploy regression,prod,ERROR,notification-service,notifications,UNKNOWN,155,31,1,0,0,0,1,0,0,0,0,1,0,0,0,pro,138,1
2026-04-15T10:15:45Z ERROR frontend-service Checkout button not responding for browser=safari env=staging vip tenant impacted fallback available workaround repeated spike after deploy,staging,ERROR,frontend-service,ui,UNKNOWN,345,61,1,1,0,0,0,0,0,0,0,1,1,0,0,enterprise,30,1
2026-04-15T10:16:52Z ERROR payment-service Charge failed order_id=10016 user=2016 error=CARD_TOKEN_ERROR env=staging sla breach risk vip tenant impacted manual retry possible,staging,ERROR,payment-service,payments,CARD_TOKEN_ERROR,345,26,21,1,1,0,0,0,0,0,1,1,0,1,0,enterprise,9,1
2026-04-15T10:17:59Z WARN ui-service Frontend exception during checkout env=prod post-deploy regression fallback available workaround,prod,WARN,ui-service,ui,UNKNOWN,225,1,1,1,0,0,0,0,0,1,0,1,1,0,0,pro,65,1
2026-04-15T10:18:06Z FATAL checkout-service Checkout request rejected for user=2018 error=PAYMENT_GATEWAY_DOWN env=prod sla breach risk single request failure checkout impacted crash detected exception raised,prod,FATAL,checkout-service,payments,PAYMENT_GATEWAY_DOWN,345,31,21,1,0,0,0,0,0,1,1,1,0,1,1,pro,16,1
2026-04-15T10:19:13Z ERROR notification-service SMTP timeout for customer=2019 env=staging every request failing repeated spike after deploy fallback available workaround,staging,ERROR,notification-service,notifications,UNKNOWN,75,181,1,0,0,0,1,0,0,0,0,1,1,0,0,free,74,1
2026-04-15T10:20:20Z WARN ui-service Frontend exception during checkout env=prod urgent sev1,prod,WARN,ui-service,ui,UNKNOWN,225,1,21,1,0,0,0,0,0,1,0,1,0,1,0,pro,65,1
2026-04-15T10:21:27Z ERROR reporting-service Scheduled export failed tenant=tenant-21 error=EXPORT_TIMEOUT env=prod customer complaint opened fallback available workaround single request failure,prod,ERROR,reporting-service,reporting,EXPORT_TIMEOUT,155,46,21,0,0,0,1,0,0,0,1,1,1,0,0,pro,68,1
2026-04-15T10:22:34Z ERROR reporting-service Scheduled export failed tenant=tenant-22 error=DB_TIMEOUT env=staging urgent sev1 exception raised,staging,ERROR,reporting-service,reporting,DB_TIMEOUT,75,46,21,0,0,1,1,0,0,1,1,0,0,1,0,free,31,1
2026-04-15T10:23:41Z ERROR search-service Search query failed user=2023 error=SEARCH_TIMEOUT env=prod single request failure,prod,ERROR,search-service,search,SEARCH_TIMEOUT,155,46,21,0,0,0,1,0,0,0,1,1,0,0,0,pro,77,1
2026-04-15T10:24:48Z ERROR auth-service Login failed for user=2024 reason=OUT_OF_MEMORY env=prod customer complaint opened exception raised,prod,ERROR,auth-service,auth,OUT_OF_MEMORY,235,26,21,0,1,0,0,0,0,1,1,1,0,0,0,pro,23,1
2026-04-15T10:25:55Z ERROR integrations-service Partner webhook failed partner=tenant-25 error=PARTNER_API_DOWN env=prod enterprise customer affected exception raised,prod,ERROR,integrations-service,integrations,PARTNER_API_DOWN,305,26,21,0,0,0,0,0,0,1,1,1,0,0,0,enterprise,73,1
2026-04-15T10:26:02Z ERROR auth-service Login failed for user=2026 reason=OUT_OF_MEMORY env=prod repeated spike after deploy exception raised,prod,ERROR,auth-service,auth,OUT_OF_MEMORY,235,76,1,0,1,0,0,0,0,1,1,1,0,0,0,pro,23,1
2026-04-15T10:27:09Z FATAL ui-service Frontend exception during checkout env=prod urgent sev1 sla breach risk crash detected,prod,FATAL,ui-service,ui,UNKNOWN,345,31,21,1,0,0,0,0,0,1,0,1,0,1,1,pro,65,1
2026-04-15T10:28:16Z ERROR integrations-service Partner webhook failed partner=tenant-28 error=WEBHOOK_TIMEOUT env=prod enterprise customer affected,prod,ERROR,integrations-service,integrations,WEBHOOK_TIMEOUT,305,46,21,0,0,0,1,0,0,0,1,1,0,0,0,enterprise,72,1
2026-04-15T10:29:23Z WARN search-service Search query failed user=2029 error=INDEX_UNAVAILABLE env=dev post-deploy regression,dev,WARN,search-service,search,INDEX_UNAVAILABLE,5,16,1,0,0,0,0,0,0,0,1,1,0,0,0,free,29,0
2026-04-15T10:30:30Z WARN search-service Search query failed user=2030 error=SEARCH_TIMEOUT env=staging single request failure,staging,WARN,search-service,search,SEARCH_TIMEOUT,25,36,21,0,0,0,1,0,0,0,1,1,0,0,0,free,18,1
2026-04-15T10:31:37Z WARN notification-service SMTP timeout for customer=2031 env=staging customer complaint opened manual retry possible,staging,WARN,notification-service,notifications,UNKNOWN,25,21,21,0,0,0,1,0,0,0,0,1,0,0,0,free,74,0
2026-04-15T10:32:44Z WARN auth-service Login failed for user=2032 reason=TOKEN_EXPIRED env=staging every request failing customer complaint opened fallback available workaround,staging,WARN,auth-service,auth,TOKEN_EXPIRED,105,116,21,0,1,0,0,0,0,0,1,1,1,0,0,free,12,0
2026-04-15T10:33:51Z ERROR integrations-service Partner webhook failed partner=tenant-33 error=PARTNER_API_DOWN env=prod customer complaint opened exception raised,prod,ERROR,integrations-service,integrations,PARTNER_API_DOWN,155,26,21,0,0,0,0,0,0,1,1,1,0,0,0,pro,73,1
2026-04-15T10:34:58Z INFO integrations-service Partner webhook failed partner=tenant-34 error=WEBHOOK_TIMEOUT env=prod customer complaint opened manual retry possible,prod,INFO,integrations-service,integrations,WEBHOOK_TIMEOUT,105,36,21,0,0,0,1,0,0,0,1,1,0,0,0,pro,72,1
2026-04-15T10:35:05Z FATAL integrations-service Partner webhook failed partner=tenant-35 error=WEBHOOK_TIMEOUT env=staging sla breach risk customer complaint opened vip tenant impacted crash detected,staging,FATAL,integrations-service,integrations,WEBHOOK_TIMEOUT,295,66,21,0,0,0,1,0,0,0,1,1,0,1,1,enterprise,47,1
2026-04-15T10:36:12Z WARN notification-service SMTP timeout for customer=2036 env=staging every request failing,staging,WARN,notification-service,notifications,UNKNOWN,25,121,21,0,0,0,1,0,0,0,0,1,0,0,0,free,74,0
2026-04-15T10:37:19Z FATAL notification-service SMTP timeout for customer=2037 env=prod enterprise customer affected crash detected,prod,FATAL,notification-service,notifications,UNKNOWN,375,51,21,0,0,0,1,0,0,0,0,1,0,0,1,enterprise,138,1
2026-04-15T10:38:26Z WARN payment-service Charge failed order_id=10038 user=2038 error=CARD_TOKEN_ERROR env=dev post-deploy regression every request failing,dev,WARN,payment-service,payments,CARD_TOKEN_ERROR,125,116,1,1,1,0,0,0,0,0,1,1,0,0,0,free,6,0
2026-04-15T10:39:33Z ERROR payment-service Charge failed order_id=10039 user=2039 error=DB_TIMEOUT env=prod customer complaint opened sla breach risk fallback available workaround checkout impacted exception raised,prod,ERROR,payment-service,payments,DB_TIMEOUT,275,46,21,1,0,1,1,0,0,1,1,1,1,1,0,pro,18,1
2026-04-15T10:40:40Z WARN checkout-service Checkout request rejected for user=2040 error=DB_TIMEOUT env=prod vip tenant impacted repeated spike after deploy post-deploy regression checkout impacted exception raised,prod,WARN,checkout-service,payments,DB_TIMEOUT,375,71,1,1,0,1,1,0,0,1,1,1,0,0,0,enterprise,20,1
2026-04-15T10:41:47Z ERROR notification-service SMTP timeout for customer=2041 env=prod every request failing,prod,ERROR,notification-service,notifications,UNKNOWN,155,131,21,0,0,0,1,0,0,0,0,1,0,0,0,pro,138,1
